center,left,right,steering,throttle,brake,speed
IMG\center_2019_02_03_01_03_05_021.jpg,IMG\left_2019_02_03_01_03_05_021.jpg,IMG\right_2019_02_03_01_03_05_021.jpg,0.0,0.0,0.0,8.06817e-05
IMG\center_2019_02_03_01_03_05_135.jpg,IMG\left_2019_02_03_01_03_05_135.jpg,IMG\right_2019_02_03_01_03_05_135.jpg,0.0,0.0,0.0,7.851395000000001e-05
IMG\center_2019_02_03_01_03_05_239.jpg,IMG\left_2019_02_03_01_03_05_239.jpg,IMG\right_2019_02_03_01_03_05_239.jpg,0.0,0.0,0.0,7.964564e-05
IMG\center_2019_02_03_01_03_05_341.jpg,IMG\left_2019_02_03_01_03_05_341.jpg,IMG\right_2019_02_03_01_03_05_341.jpg,0.0,0.0,0.0,7.891156999999999e-05
IMG\center_2019_02_03_01_03_05_448.jpg,IMG\left_2019_02_03_01_03_05_448.jpg,IMG\right_2019_02_03_01_03_05_448.jpg,0.0,0.0,0.0,7.770828e-05
IMG\center_2019_02_03_01_03_05_575.jpg,IMG\left_2019_02_03_01_03_05_575.jpg,IMG\right_2019_02_03_01_03_05_575.jpg,0.0,0.0,0.0,7.789878999999999e-05
IMG\center_2019_02_03_01_03_05_702.jpg,IMG\left_2019_02_03_01_03_05_702.jpg,IMG\right_2019_02_03_01_03_05_702.jpg,0.0,0.0,0.0,7.801635e-05
IMG\center_2019_02_03_01_03_05_813.jpg,IMG\left_2019_02_03_01_03_05_813.jpg,IMG\right_2019_02_03_01_03_05_813.jpg,0.0,0.0,0.0,7.938911e-05
IMG\center_2019_02_03_01_03_05_937.jpg,IMG\left_2019_02_03_01_03_05_937.jpg,IMG\right_2019_02_03_01_03_05_937.jpg,0.0,0.0,0.0,8.202298000000001e-05
IMG\center_2019_02_03_01_03_06_053.jpg,IMG\left_2019_02_03_01_03_06_053.jpg,IMG\right_2019_02_03_01_03_06_053.jpg,0.0,0.0,0.0,7.891856e-05
IMG\center_2019_02_03_01_03_06_156.jpg,IMG\left_2019_02_03_01_03_06_156.jpg,IMG\right_2019_02_03_01_03_06_156.jpg,0.0,0.0,0.0,8.133116e-05
IMG\center_2019_02_03_01_03_06_259.jpg,IMG\left_2019_02_03_01_03_06_259.jpg,IMG\right_2019_02_03_01_03_06_259.jpg,0.0,0.0,0.0,7.852713000000001e-05
IMG\center_2019_02_03_01_03_06_373.jpg,IMG\left_2019_02_03_01_03_06_373.jpg,IMG\right_2019_02_03_01_03_06_373.jpg,0.0,0.0,0.0,8.040887e-05
IMG\center_2019_02_03_01_03_06_489.jpg,IMG\left_2019_02_03_01_03_06_489.jpg,IMG\right_2019_02_03_01_03_06_489.jpg,0.0,0.0,0.0,7.894421e-05
IMG\center_2019_02_03_01_03_06_602.jpg,IMG\left_2019_02_03_01_03_06_602.jpg,IMG\right_2019_02_03_01_03_06_602.jpg,0.0,0.0,0.0,7.761561e-05
IMG\center_2019_02_03_01_03_06_728.jpg,IMG\left_2019_02_03_01_03_06_728.jpg,IMG\right_2019_02_03_01_03_06_728.jpg,0.0,0.0,0.0,7.946895e-05
IMG\center_2019_02_03_01_03_06_842.jpg,IMG\left_2019_02_03_01_03_06_842.jpg,IMG\right_2019_02_03_01_03_06_842.jpg,0.0,0.0,0.0,7.977695e-05
IMG\center_2019_02_03_01_03_06_956.jpg,IMG\left_2019_02_03_01_03_06_956.jpg,IMG\right_2019_02_03_01_03_06_956.jpg,0.0,0.0,0.0,7.835596999999999e-05
IMG\center_2019_02_03_01_03_07_071.jpg,IMG\left_2019_02_03_01_03_07_071.jpg,IMG\right_2019_02_03_01_03_07_071.jpg,0.0,0.08971629,0.0,0.03276918
IMG\center_2019_02_03_01_03_07_195.jpg,IMG\left_2019_02_03_01_03_07_195.jpg,IMG\right_2019_02_03_01_03_07_195.jpg,0.0,0.4641699000000001,0.0,0.491216
IMG\center_2019_02_03_01_03_07_309.jpg,IMG\left_2019_02_03_01_03_07_309.jpg,IMG\right_2019_02_03_01_03_07_309.jpg,0.0,0.8051689999999999,0.0,1.451469
IMG\center_2019_02_03_01_03_07_421.jpg,IMG\left_2019_02_03_01_03_07_421.jpg,IMG\right_2019_02_03_01_03_07_421.jpg,-0.3354698,1.0,0.0,2.582808
IMG\center_2019_02_03_01_03_07_533.jpg,IMG\left_2019_02_03_01_03_07_533.jpg,IMG\right_2019_02_03_01_03_07_533.jpg,-0.2270612,1.0,0.0,3.983546
IMG\center_2019_02_03_01_03_07_640.jpg,IMG\left_2019_02_03_01_03_07_640.jpg,IMG\right_2019_02_03_01_03_07_640.jpg,0.0,1.0,0.0,5.147881
IMG\center_2019_02_03_01_03_07_759.jpg,IMG\left_2019_02_03_01_03_07_759.jpg,IMG\right_2019_02_03_01_03_07_759.jpg,-0.2329968,1.0,0.0,6.519433
IMG\center_2019_02_03_01_03_07_874.jpg,IMG\left_2019_02_03_01_03_07_874.jpg,IMG\right_2019_02_03_01_03_07_874.jpg,-0.130928,1.0,0.0,7.873183999999998
